Horizon started successfully.
[2021-03-24 08:42:31][21156] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:37][21156] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:37][21157] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:37][21157] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:37][21158] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:43][21158] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:43][21159] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:43][21159] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:43][21160] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:48][21160] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:48][21161] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:48][21161] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:48][21162] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:53][21162] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:53][21163] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:54][21163] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:54][21164] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:57][21164] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:42:57][21165] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:57][21165] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:42:57][21166] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:00][21166] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:00][21167] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:00][21167] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:00][21168] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:04][21168] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:04][21169] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:04][21169] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:04][21170] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:05][21170] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:05][21171] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:05][21171] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:05][21172] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:07][21172] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:07][21173] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:07][21173] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:07][21174] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:10][21174] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:10][21175] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:10][21175] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:10][21176] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:13][21176] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:13][21178] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:15][21178] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:19][21182] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:23][21182] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:23][21183] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:23][21183] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:23][21184] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:25][21184] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:25][21185] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:25][21185] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:25][21186] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:27][21186] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:27][21187] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:27][21187] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:27][21188] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:31][21188] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:31][21189] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:31][21189] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:31][21190] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:34][21190] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:34][21191] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:34][21191] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:34][21192] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:38][21192] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:38][21193] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:38][21193] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:38][21194] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:40][21194] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:40][21195] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:40][21195] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:40][21196] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:42][21198] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:42][21196] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:42][21197] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:42][21197] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:44][21198] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:44][21199] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:44][21199] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:44][21200] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:46][21200] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:46][21201] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:46][21201] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:46][21202] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:48][21202] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:48][21203] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:48][21203] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:48][21204] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:51][21204] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:43:51][21205] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:43:51][21205] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:07][21219] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:07][21219] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:07][21220] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:09][21220] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:09][21221] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:09][21221] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:09][21222] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:12][21222] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:12][21223] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:12][21223] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:12][21224] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:14][21224] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:14][21225] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:15][21225] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:15][21226] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:17][21226] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:17][21230] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:17][21230] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:17][21231] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:19][21231] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:19][21232] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:19][21232] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:30][21241] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:34][21241] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:34][21242] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:34][21242] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:34][21243] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:36][21243] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:36][21244] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:36][21244] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:36][21245] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:38][21245] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:38][21246] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:38][21246] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:38][21247] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:41][21247] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:41][21248] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:41][21248] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:41][21249] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:42][21249] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:42][21251] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:43][21251] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:43][21252] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:43][21252] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:43][21253] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:45][21253] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:45][21254] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:45][21254] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:45][21255] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:48][21255] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:48][21256] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:48][21256] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:48][21257] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:51][21257] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:51][21258] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:51][21258] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:51][21259] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:55][21259] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:44:55][21260] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:55][21260] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:44:55][21261] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:01][21261] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:01][21262] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:01][21262] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:01][21263] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:06][21263] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:06][21264] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:06][21264] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:27][21274] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:27][21274] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:27][21275] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:30][21275] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:30][21276] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:30][21276] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:30][21277] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:36][21277] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:36][21278] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:36][21278] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:36][21279] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:39][21279] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:39][21280] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:39][21280] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:39][21281] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:43][21281] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:43][21282] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:43][21282] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:43][21283] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:48][21283] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:48][21284] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:48][21284] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:48][21285] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:50][21285] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:50][21286] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:50][21286] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:50][21287] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:53][21287] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:45:53][21288] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:53][21288] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:45:59][21294] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:03][21294] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:03][21297] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:03][21297] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:03][21298] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:07][21298] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:07][21303] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:07][21303] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:07][21304] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:10][21304] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:10][21305] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:10][21305] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:10][21306] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:13][21306] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:13][21307] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:13][21307] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:13][21308] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:15][21308] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:15][21309] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:15][21309] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:15][21310] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:17][21310] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:17][21311] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:17][21311] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:17][21312] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:19][21312] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:19][21313] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:19][21313] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:28][21319] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:28][21319] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:28][21320] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:32][21320] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:32][21321] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:32][21321] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:32][21322] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:34][21322] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:39][21327] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:39][21327] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:39][21328] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:41][21328] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:41][21329] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:41][21329] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:41][21330] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:55][21330] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:55][21331] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:55][21331] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:55][21332] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:58][21332] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:58][21333] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:58][21333] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:58][21334] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:59][21334] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:46:59][21335] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:59][21335] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:46:59][21336] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:02][21336] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:02][21337] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:02][21337] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:02][21338] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:06][21338] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:06][21339] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:06][21339] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:06][21340] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:08][21341] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:08][21341] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:08][21342] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:08][21340] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:10][21342] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:10][21343] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:10][21343] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:10][21344] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:12][21344] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:12][21345] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:12][21345] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:12][21346] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:15][21346] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:15][21347] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:15][21347] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:15][21348] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:17][21348] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:17][21349] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:17][21349] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:17][21350] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:19][21350] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:19][21351] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:19][21351] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:19][21352] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:22][21352] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:22][21353] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:22][21353] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:30][21358] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:32][21358] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:32][21359] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:32][21359] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:32][21360] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:35][21360] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:35][21361] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:35][21361] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:35][21362] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:39][21362] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:39][21363] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:39][21363] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:39][21364] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:44][21364] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:44][21365] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:44][21365] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:44][21366] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:47][21366] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:47][21367] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:47][21367] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:47][21368] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:50][21368] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:50][21369] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:50][21369] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:50][21370] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:52][21370] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:52][21371] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:52][21371] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:52][21372] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:54][21372] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:47:54][21373] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:54][21373] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:47:54][21374] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:00][21374] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:00][21375] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:48:00][21375] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:48:00][21376] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:02][21376] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:02][21377] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:48:02][21377] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:48:02][21378] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:04][21378] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:25][21396] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:27][21396] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:27][21397] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:48:27][21397] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:48:27][21398] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:29][21398] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:48:29][21399] Processing: App\Jobs\SwSyncSourceImageTempJob
