Horizon started successfully.
[2021-03-24 08:30:22][20690] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20693] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20700] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20649] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20750] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20688] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20745] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20694] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20699] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20699] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20701] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20653] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20704] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20704] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20705] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20705] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20706] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20706] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20707] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20707] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20709] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20709] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20708] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20708] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20710] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20710] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20711] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20711] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20712] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20712] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20714] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20714] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20715] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20715] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20717] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20717] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20718] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20718] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20728] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20728] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20730] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20730] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20731] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20731] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20738] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20738] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20741] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20741] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20751] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20627] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20719] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20719] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20720] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20720] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20724] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20724] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20727] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20727] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:23][20729] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20729] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20746] Processing: App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20746] Processed:  App\Jobs\SwSyncSourceImageTempJob
[2021-03-24 08:30:24][20749] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20617] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20737] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20737] Processed:  App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:24][20748] Processing: App\Jobs\SwSyncSourceImageJob
[2021-03-24 08:30:23][20690] Processed:  App\Jobs\SwSyncSourceImageJob
